Sentence,Output
" The lyrics were also changed , such as changing Splinter taught them to be ninja teens to Splinter taught them to be fighting teens"," The lyrics were also changed , such as changing Splinter taught them to be ninja teens to [Name] taught them to be fighting teens"
" The debate of community versus modernization of society and individualism has been the most discussed topic among the founders of sociology : such theorists as Tönnies ( 1887 ) , Durkheim ( 1893 ) , Simmel ( 1905 ) , Weber ( 1946 ) were convinced that industrialisation and urbanization were transforming social relationships in an irreversible way"," The debate of community versus modernization of society and individualism has been the most discussed topic among the founders of sociology : such theorists as [Name] ( 1887 ) , [Name] ( 1893 ) , [Name] ( 1905 ) , [Name] ( 1946 ) were convinced that industrialisation and urbanization were transforming social relationships in an irreversible way"
 09/09/1956 : 43.7 rating Elvis Presley 's first appearance, 09/09/1956 : 43.7 rating [Name] 's first appearance
" The evening 's main attraction is Queens resident Herb Stempel ( John Turturro ) , the reigning champion , who correctly answers question after question"," The evening 's main attraction is Queens resident [Name] ( [Name] ) , the reigning champion , who correctly answers question after question"
 His son Callum is also a footballer, His son [Name] is also a footballer
" He later joined Reading for £ 650,000 in June 2003 , and was a first team regular for Alan Pardew"," He later joined Reading for £ 650,000 in June 2003 , and was a first team regular for [Name]"
" Donald Rayfield concurs , noting that , Plausible evidence reveals that the actual numbers"," [Name] concurs , noting that , Plausible evidence reveals that the actual numbers"
 He also included a Major-General Thomas Bland Strange in an 1885 meeting at which the general was not actually present, He also included a Major-General [Name] in an 1885 meeting at which the general was not actually present
" The CinemaScope picture was a remake of a 1940 screwball comedy film , My Favorite Wife , with Irene Dunne , Cary Grant and Gail Patrick"," The CinemaScope picture was a remake of a 1940 screwball comedy film , My Favorite Wife , with [Name] , [Name] and [Name]"
 Her direct competitors in the leadership election were staatssecretaris of Education Mark Rutte and MP Jelleke Veenendaal, Her direct competitors in the leadership election were staatssecretaris of Education [Name] and MP [Name]
 Vivian Campbell played guitar and Jimmy Bain was on bass ; the latter of whom Dio had known since the old Rainbow days, [Name] played guitar and [Name] was on bass ; the latter of whom Dio had known since the old Rainbow days
" However , she lost the award to Kylie Minogue 's song Come into My World"," However , she lost the award to [Name] 's song Come into My World"
 It was approved by Kennedy and South Vietnam President Ngo Dinh Diem, It was approved by [Name] and South Vietnam President [Name]
" The youth coach at the time , Alberto Gallardo , admitted him into the club"," The youth coach at the time , [Name] , admitted him into the club"
 Billboard magazine named Ross the female entertainer of the century in 1976, Billboard magazine named [Name] the female entertainer of the century in 1976
" Some of the characters featured were alternate versions of comic icons such as an alternate Superman named Kal-L , who came from a parallel universe called Earth-Two"," Some of the characters featured were alternate versions of comic icons such as an alternate [Name] named [Name] , who came from a parallel universe called Earth-Two"
" While designed after his comic appearance , elements from Zorro 's appearance were added in"," While designed after his comic appearance , elements from [Name] 's appearance were added in"
" The album consisted of Queen 's biggest hits since their first chart appearance in 1974 with Seven Seas of Rhye , up to their 1980 hit Flash ( though in some countries Under Pressure , the band 's 1981 chart-topper with David Bowie , was included )"," The album consisted of Queen 's biggest hits since their first chart appearance in 1974 with Seven Seas of Rhye , up to their 1980 hit Flash ( though in some countries Under Pressure , the band 's 1981 chart-topper with [Name] , was included )"
 He assisted the likes of Dan McGugin and Ray Morrison, He assisted the likes of [Name] and [Name]
" On hearing of the slaughter , Philip II of Spain supposedly laughed , for almost the only time on record"," On hearing of the slaughter , [Name] supposedly laughed , for almost the only time on record"
" He was the fourth to hit for the cycle in 2008 , and on the same day Adrián Beltré of the Seattle Mariners became the fifth"," He was the fourth to hit for the cycle in 2008 , and on the same day [Name] of the Seattle Mariners became the fifth"
 Contemporary mutualist Kevin Carson holds that capitalism has been founded on an act of robbery as massive as feudalism and argues that capitalism could not exist in the absence of a state, Contemporary mutualist [Name] holds that capitalism has been founded on an act of robbery as massive as feudalism and argues that capitalism could not exist in the absence of a state
" In November 1898 , he attained legal adulthood and , just eight months later , became heir presumptive to Nicholas as the middle brother , George , was killed in a motorcycle accident"," In November 1898 , he attained legal adulthood and , just eight months later , became heir presumptive to [Name] as the middle brother , [Name] , was killed in a motorcycle accident"
 He was elected as the club 's new captain after the departure of former skipper Gregg Berhalter, He was elected as the club 's new captain after the departure of former skipper [Name]
" As an end , he was quickly able to fill the void in the offense left by the departure of two-time All-American Gaynell Tinsley"," As an end , he was quickly able to fill the void in the offense left by the departure of two-time All-American [Name]"
" Tiberius , now free of Livia , loses all compunction and executes hundreds of influential citizens on false charges of treason"," [Name] , now free of [Name] , loses all compunction and executes hundreds of influential citizens on false charges of treason"
 She defeated Belgian woman Elise Mertens in a third set tiebreak ( after three hours of play ) to set up a second round match with her sister Serena, She defeated Belgian woman [Name] in a third set tiebreak ( after three hours of play ) to set up a second round match with her sister [Name]
" Parts of the video shot with Drake were filmed on October 27 , 2010"," Parts of the video shot with [Name] were filmed on October 27 , 2010"
" He was the fraternal twin of Robin Gibb , and was the younger of the two by 35 minutes"," He was the fraternal twin of [Name] , and was the younger of the two by 35 minutes"
" At Guangzhou , she was awarded a wildcard to the main draw , and proved she deserved it by advancing to the semi-final with easy straight-sets victories over Anikó Kapros , Nicole Pratt and ( most impressively of all ) Peng Shuai , only to lose again to her former long-time doubles partner ( and the eventual tournament champion ) Li Na"," At Guangzhou , she was awarded a wildcard to the main draw , and proved she deserved it by advancing to the semi-final with easy straight-sets victories over [Name] , [Name] and ( most impressively of all ) [Name] , only to lose again to her former long-time doubles partner ( and the eventual tournament champion ) [Name]"
" However , after losing co-captain Shawn Redhage to a season-ending hip injury on January 23 , Brown 's contract was extended by the Wildcats to see out the 2010 – 11 season"," However , after losing co-captain [Name] to a season-ending hip injury on January 23 , [Name] 's contract was extended by the Wildcats to see out the 2010 – 11 season"
 Bassist Nicky Wire said that was the moment he knew that the band had made it, Bassist [Name] said that was the moment he knew that the band had made it
 Alexander uses this opportunity to rule in his own right - he becomes neither a pawn of his mother nor his father, [Name] uses this opportunity to rule in his own right - he becomes neither a pawn of his mother nor his father
" Ballpoints have also been produced to commemorate events , such as a pen commemorating the 1963 assassination of President John F. Kennedy"," Ballpoints have also been produced to commemorate events , such as a pen commemorating the 1963 assassination of President [Name]"
" The first of their two children , Rebecca , was born September 15 , 1962"," The first of their two children , [Name] , was born September 15 , 1962"
 A DoD study conducted at the behest of Secretary of Defense Robert Gates in 2010 supports this most, A DoD study conducted at the behest of Secretary of Defense [Name] in 2010 supports this most
 It was selected for preservation in the United States Roger Ebert, It was selected for preservation in the United States [Name]
" These are referred to by a number of ancient authors , including Pausanius ( III , 16 : 10 - 11 )"," These are referred to by a number of ancient authors , including [Name] ( III , 16 : 10 - 11 )"
" She returned to number one on the country chart later in 2005 by lending her distinctive harmonies to the Brad Paisley ballad , When I Get Where I 'm Going"," She returned to number one on the country chart later in 2005 by lending her distinctive harmonies to the [Name] ballad , When I Get Where I 'm Going"
 The Doppler effect for electromagnetic waves such as light is of great use in astronomy and results in either a so-called redshift or blueshift, The [Name] effect for electromagnetic waves such as light is of great use in astronomy and results in either a so-called redshift or blueshift
" Most territories around his kingdom were ruled by his relatives , who were descendants of either Timur or Genghis Khan , and were constantly in conflict"," Most territories around his kingdom were ruled by his relatives , who were descendants of either [Name] or [Name] , and were constantly in conflict"
" Other early examples include George Lucas 's first two films being re-released following the success of Star Wars , in cuts which more closely resembled his vision , or Peter Bogdanovich re-cutting The Last Picture Show several times"," Other early examples include [Name] 's first two films being re-released following the success of Star Wars , in cuts which more closely resembled his vision , or [Name] re-cutting The Last Picture Show several times"
 The expedition of Hernando de Soto passed through Mabila and other parts of the state in 1540, The expedition of [Name] passed through Mabila and other parts of the state in 1540
" The props she may brandish will strongly signify her role as dominatrix , such as bearing a flogger , whip or riding crop as illustrated in the artwork of Bruno Zach in the early 20th century , in conventional representation"," The props she may brandish will strongly signify her role as dominatrix , such as bearing a flogger , whip or riding crop as illustrated in the artwork of [Name] in the early 20th century , in conventional representation"
 According to Livy ( vi, According to [Name] ( vi
 Pete Rose has claimed that he applied for reinstatement over the years and received no such consideration, [Name] has claimed that he applied for reinstatement over the years and received no such consideration
" Baryons are strongly interacting fermions ; that is , they are acted on by the strong nuclear force and are described by Fermi–Dirac statistics , which apply to all particles obeying the Pauli exclusion principle"," Baryons are strongly interacting fermions ; that is , they are acted on by the strong nuclear force and are described by [Name] statistics , which apply to all particles obeying the [Name] exclusion principle"
 Commander Vice-Admiral François-Paul Brueys d'Aigalliers believed that he had established a formidable defensive position, Commander Vice-Admiral [Name] believed that he had established a formidable defensive position
" Clement of Alexandria and some scholars have ascribed the Epistle of Barnabas to him , but his authorship is disputed"," [Name] and some scholars have ascribed the Epistle of Barnabas to him , but his authorship is disputed"
" In October 2010 , she appeared on BBC One 's Strictly Come Dancing , partnered by Anton du Beke , winning the support of some viewers despite low marks from the judges"," In October 2010 , she appeared on BBC One 's Strictly Come Dancing , partnered by [Name] , winning the support of some viewers despite low marks from the judges"
" Barker states that some knights , encumbered by their armour , actually drowned in their helmets"," [Name] states that some knights , encumbered by their armour , actually drowned in their helmets"
 A new capitol building was erected under the direction of Stephen Decatur Button of Philadelphia, A new capitol building was erected under the direction of [Name] of Philadelphia
" In 1922 , he moved to Paris to study under the sculptor Antoine Bourdelle , an associate of Rodin"," In 1922 , he moved to Paris to study under the sculptor [Name] , an associate of [Name]"
" Another important performer in this period , Bertram Turetzky , commissioned and premiered more than 300 double bass works"," Another important performer in this period , [Name] , commissioned and premiered more than 300 double bass works"
" In 1885 , anatomist Walther Flemming delivered a more precise description of the process of programmed cell death"," In 1885 , anatomist [Name] delivered a more precise description of the process of programmed cell death"
" During the latter trip they encountered extremely heavy rain , which led Sir James Clark , the queen 's doctor , to recommend Deeside instead , for its more healthy climate"," During the latter trip they encountered extremely heavy rain , which led Sir [Name] , the queen 's doctor , to recommend Deeside instead , for its more healthy climate"
" The architect , Jean Chalgrin , died in 1811 and the work was taken over by Jean-Nicolas Huyot"," The architect , [Name] , died in 1811 and the work was taken over by [Name]"
" Anthroposophic painting , a style inspired by Rudolf Steiner , featured prominently in the first Goetheanum 's cupola"," Anthroposophic painting , a style inspired by [Name] , featured prominently in the first Goetheanum 's cupola"
" The most general stationary black hole solution known is the Kerr–Newman metric , which describes a black hole with both charge and angular momentum"," The most general stationary black hole solution known is the [Name] metric , which describes a black hole with both charge and angular momentum"
" In 1899 , Ernest Rutherford separated radioactive emissions into two types : alpha and beta ( now beta minus ) , based on penetration of objects and ability to cause ionization"," In 1899 , [Name] separated radioactive emissions into two types : alpha and beta ( now beta minus ) , based on penetration of objects and ability to cause ionization"
 The series featured the further adventures of the title character played by Peter Wyngarde who had first appeared in Department S ( 1969 ), The series featured the further adventures of the title character played by [Name] who had first appeared in Department S ( 1969 )
" From the late nineties , members of Backstreet Boys who had previously used writers like Max Martin during their early albums began writing their own songs"," From the late nineties , members of Backstreet Boys who had previously used writers like [Name] during their early albums began writing their own songs"
" Tatian sought to combine all the textual material he found in the four gospels - Matthew , Mark , Luke , and John - into a single coherent narrative of Jesus 's life and death"," [Name] sought to combine all the textual material he found in the four gospels - Matthew , Mark , Luke , and John - into a single coherent narrative of [Name] life and death"
 where is the Laplace transform of, where is the [Name] transform of
 Horn clauses are of interest because they are able to express implication of one variable from a set of other variables, [Name] clauses are of interest because they are able to express implication of one variable from a set of other variables
" In the 1980 s , an omnibus redistricting case , Dillard v"," In the 1980 s , an omnibus redistricting case , [Name] v"
" The two greatest saints among them are Catherine of Siena and Rose of Lima , who lived ascetic lives in their family homes , yet both had widespread influence in their societies"," The two greatest saints among them are [Name] and [Name] , who lived ascetic lives in their family homes , yet both had widespread influence in their societies"
" The majority of surviving choreographies from the period are English country dances , such as those in the many editions of Playford 's The Dancing Master"," The majority of surviving choreographies from the period are English country dances , such as those in the many editions of [Name] 's The Dancing Master"
" In 1935 , Tansley added the climatic and soil aspects to the idea , calling it ecosystem"," In 1935 , [Name] added the climatic and soil aspects to the idea , calling it ecosystem"
 German psychiatrist Emil Kraepelin ( 1856 – 1926 ) popularised it in his first detailed textbook descriptions of a condition that eventually became a different disease concept and relabeled as schizophrenia, German psychiatrist [Name] ( 1856 – 1926 ) popularised it in his first detailed textbook descriptions of a condition that eventually became a different disease concept and relabeled as schizophrenia
" Other species kept in captivity are spotted dolphins , false killer whales and common dolphins , Commerson 's dolphins , as well as rough-toothed dolphins , but all in much lower numbers than the bottlenose dolphin"," Other species kept in captivity are spotted dolphins , false killer whales and common dolphins , [Name] 's dolphins , as well as rough-toothed dolphins , but all in much lower numbers than the bottlenose dolphin"
" Brutus 's sons had attempted to overthrow the government and restore the monarchy , so the father ordered their death to maintain the republic"," [Name] 's sons had attempted to overthrow the government and restore the monarchy , so the father ordered their death to maintain the republic"
 Calculations based on the Bohr–Sommerfeld model were able to accurately explain a number of more complex atomic spectral effects, Calculations based on the [Name] model were able to accurately explain a number of more complex atomic spectral effects
 Some honorific suffixes to signify notable barristers may be Esquire, Some honorific suffixes to signify notable barristers may be [Name]
" Confederate General Henry Heth 's division advanced with two brigades forward , commanded by Brig"," Confederate General [Name] 's division advanced with two brigades forward , commanded by Brig"
 One of the few general approaches is through the Hasse principle, One of the few general approaches is through the [Name] principle
" In this way , the divine right originates as a metaphysical act of humility or submission towards God"," In this way , the divine right originates as a metaphysical act of humility or submission towards [Name]"
 He offers his respects to the new King Macbeth and pledges loyalty, He offers his respects to the new King [Name] and pledges loyalty
" Over the years , understanding of the business cycle has branched into various research programmes , mostly related to or distinct from Keynesianism"," Over the years , understanding of the business cycle has branched into various research programmes , mostly related to or distinct from [Name]"
" In contrast to these materialistic views , Aristotelianism considered all natural things as actualisations of fixed natural possibilities , known as forms"," In contrast to these materialistic views , [Name] considered all natural things as actualisations of fixed natural possibilities , known as forms"
" According to Kvanvig , an adequate account of knowledge should resist counterexamples and allow an explanation of the value of knowledge over mere true belief"," According to [Name] , an adequate account of knowledge should resist counterexamples and allow an explanation of the value of knowledge over mere true belief"
" Attempts by the Presbyterians , led by Richard Baxter , to gain approval for an alternative service book failed"," Attempts by the Presbyterians , led by [Name] , to gain approval for an alternative service book failed"
" Later , Isaac Newton explained this as a corollary of his law of universal gravitation"," Later , [Name] explained this as a corollary of his law of universal gravitation"
" Under the blanket reforms of this process , Imre Nagy came to power in Hungary as the new Prime Minister , taking over for Mátyás Rákosi"," Under the blanket reforms of this process , [Name] came to power in Hungary as the new Prime Minister , taking over for [Name]"
 The team 's most fertile period of technical innovation came in the 1970 s and 1980 s when Gordon Murray became technical director, The team 's most fertile period of technical innovation came in the 1970 s and 1980 s when [Name] became technical director
 Fellow film producer Sam Katzman described him as the biggest con artist in the world, Fellow film producer [Name] described him as the biggest con artist in the world
" A slight success over Octavian 's tired soldiers encouraged him to make a general attack , in which he was decisively beaten"," A slight success over [Name] 's tired soldiers encouraged him to make a general attack , in which he was decisively beaten"
 Of particular note is the dominant presence of the Empress Taytu Betul during these celebrations, Of particular note is the dominant presence of the Empress [Name] during these celebrations
" Some clinical signs of Cushing 's disease include obesity , moon face , and hirsutism"," Some clinical signs of [Name] 's disease include obesity , moon face , and hirsutism"
" The events of the day have been dramatised in two 2002 television films , Bloody Sunday ( starring James Nesbitt ) and Sunday by Jimmy McGovern"," The events of the day have been dramatised in two 2002 television films , Bloody Sunday ( starring [Name] ) and Sunday by [Name]"
" He is mentioned by name , though rarely , by other Greek mathematicians from Archimedes ( c"," He is mentioned by name , though rarely , by other Greek mathematicians from [Name] ( c"
" For The Pawnshop , he recruited the actor Henry Bergman , who was to work with Chaplin for 30 years"," For The Pawnshop , he recruited the actor [Name] , who was to work with [Name] for 30 years"
" There are nine blue plaques memorialising Chaplin in London , Hampshire , and Yorkshire"," There are nine blue plaques memorialising [Name] in London , Hampshire , and Yorkshire"
" Much of the 20th century was dominated by José María Velasco Ibarra , whose five presidential terms began with a mandate in 1934 and final presidency ending in 1972"," Much of the 20th century was dominated by [Name] , whose five presidential terms began with a mandate in 1934 and final presidency ending in 1972"
" Special polytopes are also considered , such as permutohedra , associahedra and Birkhoff polytopes"," Special polytopes are also considered , such as permutohedra , associahedra and [Name] polytopes"
" In other work , he developed series expansions for functions , including fractional and irrational powers , and it was clear that he understood the principles of the Taylor series"," In other work , he developed series expansions for functions , including fractional and irrational powers , and it was clear that he understood the principles of the [Name] series"
" There are four types of chemical bonds : covalent bonds , in which compounds share one or more electron ( s ) ; ionic bonds , in which a compound donates one or more electrons to another compound to produce ions ( cations and anions ) ; hydrogen bonds ; and Van der Waals force bonds"," There are four types of chemical bonds : covalent bonds , in which compounds share one or more electron ( s ) ; ionic bonds , in which a compound donates one or more electrons to another compound to produce ions ( cations and anions ) ; hydrogen bonds ; and [Name] force bonds"
" The inert gases , later called the noble gases were discovered by William Ramsay in collaboration with Lord Rayleigh at the end of the century , thereby filling in the basic structure of the table"," The inert gases , later called the noble gases were discovered by [Name] in collaboration with Lord [Name] at the end of the century , thereby filling in the basic structure of the table"
" When President Manuel Enrique Araujo was killed in 1913 , many hypotheses were advanced for the political motive of his murder"," When President [Name] was killed in 1913 , many hypotheses were advanced for the political motive of his murder"
" In March 2001 the President appointed a new Prime Minister , Cándido Muatetema Rivas , and replaced several ministers perceived to be especially corrupt"," In March 2001 the President appointed a new Prime Minister , [Name] , and replaced several ministers perceived to be especially corrupt"
" This formative period was followed by the early bishops , whom Christians consider the successors of Christ 's apostles"," This formative period was followed by the early bishops , whom Christians consider the successors of [Name]"
" In the 18th century , for example , Methodism grew out of Anglican minister John Wesley 's evangelical and revival movement"," In the 18th century , for example , Methodism grew out of Anglican minister [Name] 's evangelical and revival movement"
" The website 's critics consensus states : Orson Welles 's epic tale of a publishing tycoon 's rise and fall is entertaining , poignant , and inventive in its storytelling , earning its reputation as a landmark achievement in film"," The website 's critics consensus states : [Name] 's epic tale of a publishing tycoon 's rise and fall is entertaining , poignant , and inventive in its storytelling , earning its reputation as a landmark achievement in film"
" In early editions of , many well-known phoenixs were included such as the dragon , manticore , satyrus , and Paradoxa , which Linnaeus collected into the catch-all category debunk"," In early editions of , many well-known phoenixs were included such as the dragon , manticore , satyrus , and Paradoxa , which [Name] collected into the catch-all category debunk"
" He pursued his interest in behaviour by encouraging his protégé George Romanes , who investigated animal learning and intelligence using an anthropomorphic method , anecdotal cognitivism , that did not gain scientific support"," He pursued his interest in behaviour by encouraging his protégé [Name] , who investigated animal learning and intelligence using an anthropomorphic method , anecdotal cognitivism , that did not gain scientific support"
 During the mid-1980 s a group of new artists began to emerge who rejected the more polished country-pop sound that had been prominent on radio and the charts in favor of more traditional back-to-basics production ; this neotraditional movement would dominate country music through the late 1980 s and was typified by the likes of George Strait, During the mid-1980 s a group of new artists began to emerge who rejected the more polished country-pop sound that had been prominent on radio and the charts in favor of more traditional back-to-basics production ; this neotraditional movement would dominate country music through the late 1980 s and was typified by the likes of [Name]
" In 2008 , Taylor Swift released her second studio album , Fearless , which made her the second longest number-one charted on Billboard 200 and the second best-selling album ( just behind Adele 's 21 ) within the past 5 years"," In 2008 , [Name] released her second studio album , Fearless , which made her the second longest number-one charted on Billboard 200 and the second best-selling album ( just behind [Name] 's 21 ) within the past 5 years"
" In the Liénard–Wiechert potential formulation of the electric and magnetic fields due to motion of a single particle ( according to Maxwell 's equations ) , the terms associated with acceleration of the particle are those that are responsible for the part of the field that is regarded as electromagnetic radiation"," In the [Name] potential formulation of the electric and magnetic fields due to motion of a single particle ( according to [Name] 's equations ) , the terms associated with acceleration of the particle are those that are responsible for the part of the field that is regarded as electromagnetic radiation"
" The 1811 Constitution of Venezuela was the first Constitution of Venezuela and Latin America , promulgated and drafted by Cristóbal Mendoza and Juan Germán Roscio and in Caracas"," The 1811 Constitution of Venezuela was the first Constitution of Venezuela and Latin America , promulgated and drafted by [Name] and [Name] and in Caracas"
" The first practical automated system was patented by Charles Wheatstone , the original inventor of the telegraph"," The first practical automated system was patented by [Name] , the original inventor of the telegraph"
" In an extreme example , Charles D. B. King of Liberia was reported to have won by 234,000 votes in the 1927 general election , a majority that was over fifteen times larger than the number of eligible voters"," In an extreme example , [Name] of Liberia was reported to have won by 234,000 votes in the 1927 general election , a majority that was over fifteen times larger than the number of eligible voters"
 Carloman 's widow Gerberga fled to Desiderius ' court with her sons for protection, [Name] 's widow [Name] fled to [Name] ' court with her sons for protection
 The war ended with Widukind accepting baptism, The war ended with [Name] accepting baptism
" In 1907 , René de Saussure proposed the spesmilo ⟨ ₷ ⟩ as an international currency"," In 1907 , [Name] proposed the spesmilo ⟨ ₷ ⟩ as an international currency"
" To counter the common misunderstanding that the creation–evolution controversy was a simple dichotomy of views , with creationists set against evolutionists , Eugenie Scott of the National Center for Science Education produced a diagram and description of a continuum of religious views as a spectrum ranging from extreme literal Biblical creationism to materialist evolution , grouped under main headings"," To counter the common misunderstanding that the creation–evolution controversy was a simple dichotomy of views , with creationists set against evolutionists , [Name] of the National Center for Science Education produced a diagram and description of a continuum of religious views as a spectrum ranging from extreme literal Biblical creationism to materialist evolution , grouped under main headings"
" Algorithmic composition with computers was first demonstrated in the 1950 s ( although algorithmic composition per se without a computer had occurred much earlier , for example Mozart 's Musikalisches Würfelspiel )"," Algorithmic composition with computers was first demonstrated in the 1950 s ( although algorithmic composition per se without a computer had occurred much earlier , for example [Name] 's Musikalisches Würfelspiel )"
" Then , gradually increasing its commitment to reinforce Habré 's presidency , France once again increased its military activity in Chad"," Then , gradually increasing its commitment to reinforce [Name] 's presidency , France once again increased its military activity in Chad"
" Here he clashed with Baldur von Schirach , the Hitler Youth leader , over the training that the boys should receive"," Here he clashed with [Name] , the Hitler Youth leader , over the training that the boys should receive"
 Eric Dorman-Smith claimed that it was a pity we could not have combined with Rommel to clean up the whole mess on both sides, [Name] claimed that it was a pity we could not have combined with [Name] to clean up the whole mess on both sides
" Edith Stein served as his personal assistant during his first few years in Freiburg , followed later by Martin Heidegger from 1920 to 1923"," [Name] served as his personal assistant during his first few years in Freiburg , followed later by [Name] from 1920 to 1923"
" The phenomenon was further investigated by Ampère , who discovered that two parallel current-carrying wires exerted a force upon each other : two wires conducting currents in the same direction are attracted to each other , while wires containing currents in opposite directions are forced apart"," The phenomenon was further investigated by [Name] , who discovered that two parallel current-carrying wires exerted a force upon each other : two wires conducting currents in the same direction are attracted to each other , while wires containing currents in opposite directions are forced apart"
" While flawed , this became the fundamental basis on which later Greek philosophers and mathematicians like Euclid would construct some of the most important theories of light , vision , and optics"," While flawed , this became the fundamental basis on which later Greek philosophers and mathematicians like [Name] would construct some of the most important theories of light , vision , and optics"
" They are thus more easily analyzed , using powerful frequency domain methods such as Laplace transforms , to determine DC response , AC response , and transient response"," They are thus more easily analyzed , using powerful frequency domain methods such as [Name] transforms , to determine DC response , AC response , and transient response"
 Modern authors such as Charles Dickens and James Joyce are famous for evocative descriptions of their home cities, Modern authors such as [Name] and [Name] are famous for evocative descriptions of their home cities
" This kind of cell includes the Galvanic cell or Voltaic cell , named after Luigi Galvani and Alessandro Volta , both scientists who conducted several experiments on chemical reactions and electric current during the late 18th century"," This kind of cell includes the [Name] cell or [Name] cell , named after [Name] and [Name] , both scientists who conducted several experiments on chemical reactions and electric current during the late 18th century"
 The current governor is Republican Kay Ivey, The current governor is Republican [Name]
" In conjunction with Hans Geiger , he developed zinc sulfide scintillation screens and ionisation chambers to count alphas"," In conjunction with [Name] , he developed zinc sulfide scintillation screens and ionisation chambers to count alphas"
 This formulation more clearly highlights the role of the Nash equilibrium condition in the ESS. It also allows for a natural definition of related concepts such as a weak ESS or an evolutionarily stable set, This formulation more clearly highlights the role of the [Name] equilibrium condition in the ESS. It also allows for a natural definition of related concepts such as a weak ESS or an evolutionarily stable set
 It was described by Adam Smith in The Wealth of Nations ( 1776 ) and later economists as allocating productive resources to their most highly valued uses and encouraging efficiency, It was described by [Name] in The Wealth of Nations ( 1776 ) and later economists as allocating productive resources to their most highly valued uses and encouraging efficiency
" Some 20th century Marxian economists consider capitalism to be a social formation where capitalist class processes dominate , but are not exclusive"," Some 20th century [Name] economists consider capitalism to be a social formation where capitalist class processes dominate , but are not exclusive"
" Two track and field movies about the life of Steve Prefontaine , Prefontaine and Without Limits , were released within a year of each other in 1997 – 1998"," Two track and field movies about the life of [Name] , Prefontaine and Without Limits , were released within a year of each other in 1997 – 1998"
" Under king Suryavarman II ( 1113 – 1150 ) the empire reached its greatest geographic extent as it directly or indirectly controlled Indochina , the Gulf of Thailand and large areas of northern maritime Southeast Asia"," Under king [Name] ( 1113 – 1150 ) the empire reached its greatest geographic extent as it directly or indirectly controlled Indochina , the Gulf of Thailand and large areas of northern maritime Southeast Asia"
" For example , many asymptotic expansions are derived from the formula , and Faulhaber 's formula for the sum of powers is an immediate consequence"," For example , many asymptotic expansions are derived from the formula , and [Name] 's formula for the sum of powers is an immediate consequence"
" Typically , he is mounted on the three-headed elephant Airavata and holds his trusty weapon , the thunderbolt or vajra"," Typically , he is mounted on the three-headed elephant [Name] and holds his trusty weapon , the thunderbolt or vajra"
" God tells Moses to return to Egypt and lead the Hebrews into Canaan , the land promised to Abraham"," God tells [Name] to return to Egypt and lead the Hebrews into Canaan , the land promised to [Name]"
 This was done by Alonzo Church in 1935 with the concept of effective calculability based on his λ-calculus and by Alan Turing the next year with his concept of Turing machines, This was done by [Name] in 1935 with the concept of effective calculability based on his λ-calculus and by [Name] the next year with his concept of Turing machines
" Ange-Félix Patassé became president , but was later removed by General François Bozizé in the 2003 coup"," [Name] became president , but was later removed by General [Name] in the 2003 coup"
" The algorithm , named after its inventor , Jay Earley , is a chart parser that uses dynamic programming ; it is mainly used for parsing in computational linguistics"," The algorithm , named after its inventor , [Name] , is a chart parser that uses dynamic programming ; it is mainly used for parsing in computational linguistics"
" In 1808 , Napoleon 's enthronement of his brother Joseph as the Spanish King precipitated the drive by the colony for independence from Spain"," In 1808 , [Name] 's enthronement of his brother [Name] as the Spanish King precipitated the drive by the colony for independence from Spain"
" In 1886 , José Manuel Balmaceda was elected president"," In 1886 , [Name] was elected president"
 Evolutionary psychology has its historical roots in Charles Darwin 's theory of natural selection, Evolutionary psychology has its historical roots in [Name] 's theory of natural selection
" Included in this work was the so-called Goldbach conjecture ( every even integer is the sum of two primes ) , and also the following conjecture : every odd integer is a prime or the sum of three primes"," Included in this work was the so-called [Name] conjecture ( every even integer is the sum of two primes ) , and also the following conjecture : every odd integer is a prime or the sum of three primes"
 The way in which charges and currents interact with the electromagnetic field is described by Maxwell 's equations and the Lorentz force law, The way in which charges and currents interact with the electromagnetic field is described by [Name] 's equations and the [Name] force law
" In earlier decades , this shift was mainly due to large-scale immigration from neighboring countries of the interior , that has been going on since colonial times and continued to be promoted during the Houphouet-Boigny era"," In earlier decades , this shift was mainly due to large-scale immigration from neighboring countries of the interior , that has been going on since colonial times and continued to be promoted during the [Name] era"
" The total number of Croats who lost their lives during World War II from all causes , based on the studies of Vladimir Žerjavić and Bogoljub Kočović , is estimated to be approximately 200,000"," The total number of Croats who lost their lives during World War II from all causes , based on the studies of [Name] and [Name] , is estimated to be approximately 200,000"
" Croatia has been the home of many famous inventors , including Fausto Veranzio , Giovanni Luppis , Slavoljub Eduard Penkala , Franjo Hanaman , and Nikola Tesla , as well as scientists , such as Franciscus Patricius , Nikola Nalješković , Nikola Vitov Gučetić , Josip Franjo Domin , Marino Ghetaldi , Roger Joseph Boscovich , Andrija Mohorovičić , Ivan Supek , Ivan Đikić , Miroslav Radman and Marin Soljačić"," Croatia has been the home of many famous inventors , including [Name] , [Name] , [Name] , [Name] , and [Name] , as well as scientists , such as [Name] , [Name] , [Name] , [Name] , [Name] , [Name] , [Name] , [Name] , [Name] , [Name] and [Name]"
" She met with renowned anarchists such as Errico Malatesta , Louise Michel , and Peter Kropotkin"," She met with renowned anarchists such as [Name] , [Name] , and [Name]"
